,"perplexity: 10, early_exaggeration: 4.0, learning_rate: 250, metric: correlation, init: pca", , 
,tSNE 1,tSNE 2,HDBSCAN label
N357Barcode_723-520,-64.58133697509766,2.315485715866089,3.0
N357Barcode_729-503,44.50103759765625,-3.09006404876709,6.0
N357Barcode_712-510,3.7328999042510986,19.289478302001953,12.0
N357Barcode_703-517,-29.028196334838867,4.854558944702148,13.0
N357Barcode_721-513,-24.689071655273438,-29.97727394104004,10.0
N357Barcode_719-511,46.02897262573242,0.5355498790740967,6.0
N357Barcode_704-517,36.9150505065918,-21.88150405883789,17.0
N357Barcode_726-513,3.5913891792297363,22.8735294342041,12.0
N357Barcode_707-506,-61.097591400146484,4.683319091796875,3.0
N357Barcode_724-520,-1.3651503324508667,-4.268270969390869,18.0
N357Barcode_715-517,6.7578043937683105,17.996496200561523,12.0
N357Barcode_704-510,-31.857765197753906,0.5889012217521667,13.0
N357Barcode_716-506,42.01490783691406,-39.773746490478516,16.0
N357Barcode_722-505,-28.31711769104004,0.4694184362888336,13.0
N357Barcode_711-506,35.364933013916016,-42.63029098510742,16.0
N357Barcode_712-517,44.87638473510742,-2.5290794372558594,6.0
N357Barcode_703-510,46.03068161010742,-2.89689564704895,6.0
N357Barcode_719-516,-67.81222534179688,2.775252103805542,3.0
N357Barcode_706-511,-21.55100440979004,14.307120323181152,14.0
N357Barcode_724-515,10.455608367919922,-4.34217643737793,24.0
N357Barcode_701-511,-63.7732048034668,0.5217647552490234,3.0
N357Barcode_723-515,44.12632369995117,0.23885491490364075,6.0
N357Barcode_710-516,47.88309860229492,28.332881927490234,8.0
N357Barcode_703-522,38.161312103271484,26.480926513671875,8.0
N357Barcode_718-506,15.28883171081543,-16.965301513671875,27.0
N357Barcode_716-515,-14.479913711547852,-66.86963653564453,1.0
N357Barcode_704-503,8.02267074584961,19.431947708129883,12.0
N357Barcode_705-521,-11.789066314697266,-57.62068176269531,1.0
N357Barcode_703-503,-24.908649444580078,-23.39305305480957,10.0
N357Barcode_721-507,-30.758899688720703,3.6815946102142334,13.0
N357Barcode_729-517,44.1265754699707,26.213457107543945,8.0
N357Barcode_711-515,-9.831622123718262,-58.2728385925293,1.0
N357Barcode_724-506,31.688976287841797,1.5546369552612305,23.0
N357Barcode_706-508,5.367867469787598,21.95198631286621,12.0
N357Barcode_727-517,13.72379207611084,12.055856704711914,7.0
N357Barcode_705-513,-22.227846145629883,14.493120193481445,14.0
N357Barcode_720-517,24.558549880981445,-10.98255729675293,26.0
N357Barcode_701-508,-20.86182975769043,19.151031494140625,14.0
N357Barcode_702-513,-11.260238647460938,-64.966796875,1.0
N357Barcode_728-507,24.39685821533203,-13.110459327697754,26.0
N357Barcode_710-505,38.56342315673828,-36.11772537231445,16.0
N357Barcode_723-506,33.0949592590332,-20.880430221557617,17.0
IL7024-712-502,-10.237814903259277,-63.965599060058594,1.0
IL7024-708-504,25.785470962524414,-8.351576805114746,-1.0
IL7024-710-503,-22.193994522094727,49.7674674987793,9.0
IL7024-709-507,-13.049665451049805,-35.56352615356445,22.0
IL7024-711-507,-30.060091018676758,11.491487503051758,13.0
IL7024-710-504,5.325903415679932,-4.603597164154053,9.0
IL7024-708-503,9.664787292480469,-4.342277526855469,24.0
IL7024-708-507,2.1760549545288086,17.88224983215332,12.0
IL7024-712-501,-1.4486870765686035,-23.49238395690918,25.0
IL7024-711-503,-22.339765548706055,45.85255813598633,9.0
IL7024-709-504,-12.733382225036621,-35.162296295166016,22.0
IL7024-709-503,1.0116019248962402,-5.325804710388184,18.0
IL7024-711-504,-22.046598434448242,47.11651611328125,9.0
IL7024-710-507,49.83256149291992,-2.6815433502197266,6.0
IL7024-710-505,-59.146236419677734,0.7040759921073914,3.0
IL7024-708-508,-21.887704849243164,-25.213956832885742,10.0
IL7024-712-504,2.0012991428375244,17.237150192260742,12.0
IL7024-708-502,34.599605560302734,-24.14095687866211,17.0
IL7024-709-501,40.232574462890625,-39.63196563720703,16.0
IL7024-711-506,-33.90864181518555,7.715726375579834,13.0
IL7024-711-501,-60.94832992553711,-1.2955578565597534,3.0
IL7024-709-506,-21.499553680419922,50.87940216064453,9.0
IL7024-712-503,49.28491973876953,-2.6638684272766113,6.0
IL7024-708-505,-4.009959697723389,-6.641185283660889,19.0
IL7024-710-502,-23.411279678344727,49.9053955078125,9.0
IL7024-710-508,-53.517173767089844,-17.270530700683594,2.0
IL7024-710-506,-30.294715881347656,11.011346817016602,13.0
IL7024-709-508,-21.3231201171875,51.129669189453125,9.0
IL7024-709-502,35.08438491821289,-34.35932540893555,16.0
IL7024-711-505,-25.663108825683594,53.0020866394043,9.0
IL7024-711-502,46.430564880371094,-5.405256271362305,6.0
IL7024-711-508,-21.917142868041992,49.276912689208984,9.0
IL7024-709-505,7.72760534286499,-45.89885330200195,0.0
IL7024-708-506,25.76621437072754,-8.365030288696289,-1.0
IL7024-710-501,-58.508724212646484,1.3144721984863281,3.0
IL7051-726-506,45.83402633666992,36.02241134643555,8.0
IL7051-705-520,-28.542110443115234,41.815982818603516,9.0
IL7051-715-505,48.278541564941406,-2.146852493286133,6.0
IL7051-704-508,35.422119140625,-20.50676155090332,17.0
IL7051-707-513,-7.2233805656433105,-34.11114501953125,22.0
IL7051-703-508,-22.822900772094727,18.005327224731445,14.0
IL7051-721-506,44.30554962158203,32.28852462768555,8.0
IL7051-702-520,-52.51972198486328,-22.370668411254883,2.0
IL7051-712-505,-13.4044189453125,-58.7464485168457,1.0
IL7051-707-521,-22.895719528198242,15.86396312713623,14.0
IL7051-724-507,11.271634101867676,-4.21907377243042,24.0
IL7051-705-518,13.817659378051758,-21.7208251953125,29.0
IL7051-728-506,29.02508544921875,-47.7805290222168,15.0
IL7051-701-503,40.23427963256836,37.52972412109375,8.0
IL7051-702-518,0.9020226001739502,-23.425540924072266,25.0
